name,country,category,latitude,longitude
Lyman Allyn Museum of Art,United States,museumelevation 64m,41.375557,72.1075
Virginia Holocaust Museum,United States,museumelevation 8m,37.530834,77.425835
Museum of the Rockies,United States,museumelevation 1499m,45.664444,111.049446
National Museum of African Art,United States,museumelevation 27m,38.89111,77.001114
John Brown Museum State Historic Site,United States,museumelevation 266m,38.49861,94.95944
Mount Vernon Hotel Museum & Garden,United States,museumelevation 10m,40.760555,73.96
Seattle Art Museum,United States,museumelevation 27m,47.607224,122.33806
Pierre Wibaux County Museum,United States,museumelevation 811m,46.986668,104.18667
Lutz Museum,United States,museumelevation 60m,41.76611,72.53333
Pawnee Bill Museum State Park,United States,parkelevation 277m,36.32528,96.81333
Red Rock Cincinnati Museum of Natural History Nature Preserve,United States,parkelevation 271m,38.747223,83.45722
Cincinnati Museum of Natural History Nature Preserve,United States,parkelevation 188m,38.704166,83.43916
Cincinnati Museum of Natural History Nature Preserve,United States,parkelevation 159m,38.68,83.456665
Abner Hollow Cincinnati Museum of Natural History Nature Preserve,United States,parkelevation 216m,38.72389,83.431946
Winter Park,United States,"populated placepopulation 29,943, elevation 28m",28.6,81.339165
Menlo Park,United States,"populated placepopulation 33,449, elevation 22m",37.45361,122.181946
Brooklyn Park,United States,"populated placepopulation 79,149, elevation 265m",45.093887,93.35611
Highland Park,United States,"populated placepopulation 29,743, elevation 212m",42.181667,87.80028
Baldwin Park,United States,"populated placepopulation 77,071, elevation 114m",34.085278,117.96083
Cedar Park,United States,"populated placepopulation 65,945, elevation 276m",30.505,97.820274
Park Ridge,United States,"populated placepopulation 37,757, elevation 196m",42.011112,87.84055
Buena Park,United States,"populated placepopulation 83,270, elevation 23m",33.8675,117.998055
Overland Park,United States,"populated placepopulation 186,515, elevation 329m",38.982224,94.670555
Avon Park,United States,"populated placepopulation 10,086, elevation 46m",27.595833,81.50611
Huntington Park,United States,"populated placepopulation 59,430, elevation 52m",33.981667,118.225
Oak Park,United States,"populated placepopulation 29,752, elevation 203m",42.459446,83.1825
Rohnert Park,United States,"populated placepopulation 42,407, elevation 32m",38.339443,122.700836
Pinellas Park,United States,"populated placepopulation 51,617, elevation 4m",27.842777,82.69945
Oak Park,United States,"populated placepopulation 52,287, elevation 189m",41.885,87.78445
Monterey Park,United States,"populated placepopulation 61,468, elevation 117m",34.0625,118.12278
Valley Park,United States,"populated placepopulation 6,974, elevation 130m",38.549168,90.4925
Lincoln Park,United States,"populated placepopulation 37,012, elevation 179m",42.250557,83.17834
Takoma Park,United States,"populated placepopulation 17,713, elevation 88m",38.97778,77.007225
Yellowstone National Park,United States,parkelevation 2470m,44.427776,110.58833
Allen Park,United States,"populated placepopulation 27,425, elevation 181m",42.2575,83.21083
Litchfield Park,United States,"populated placepopulation 5,533, elevation 314m",33.493332,112.35778
Bridgeport,United States,"populated placepopulation 147,629, elevation 1m",41.179165,73.189445
Park City,United States,"populated placepopulation 8,128, elevation 2141m",40.645832,111.49778
Villa Park,United States,"populated placepopulation 5,964, elevation 104m",33.814445,117.81306
Loves Park,United States,"populated placepopulation 23,455, elevation 222m",42.32,89.05805
Lexington Park,United States,"populated placepopulation 11,626, elevation 36m",38.266666,76.45361
Woodland Park,United States,"populated placepopulation 7,222, elevation 2585m",38.99389,105.05666
Westminster,United States,"populated placepopulation 116,317, elevation 1641m",39.836388,105.03694
College Park,United States,"populated placepopulation 32,301, elevation 21m",38.980556,76.93667
Highland Park,United States,"populated placepopulation 10,949, elevation 194m",42.405556,83.096664
Palo Alto,United States,"populated placepopulation 66,853, elevation 9m",37.441666,122.14278
Edison,United States,"populated placepopulation 102,548, elevation 27m",40.518612,74.41194
Asheville,United States,"seat of a second-order administrative divisionpopulation 88,512, elevation 649m",35.600834,82.55389
Park,United States,"second-order administrative divisionpopulation 17,191, elevation 1919m",45.488335,110.52611
Park,United States,"second-order administrative divisionpopulation 29,624, elevation 2492m",44.520557,109.58833
Orland Park,United States,"populated placepopulation 58,619, elevation 215m",41.63028,87.85389
Mission Field,United States,airportelevation 1419m,45.69889,110.44861
Powell,United States,"populated placepopulation 6,462, elevation 1339m",44.753613,108.757225
Melrose Park,United States,"populated placepopulation 25,379, elevation 193m",41.900555,87.85667
Deer Park,United States,"populated placepopulation 27,745, elevation 26m",40.761665,73.32917
Arches National Park,United States,parkelevation 1506m,38.7225,109.58611
Estes Park,United States,"populated placepopulation 6,257, elevation 2300m",40.376945,105.52167
Rego Park,United States,"populated placepopulation 43,925, elevation 28m",40.726387,73.8525
Park,United States,"second-order administrative divisionpopulation 17,390, elevation 2806m",39.119167,105.71694
Forest Park,United States,"populated placepopulation 19,383, elevation 301m",33.621944,84.36889
Fairview Park,United States,"populated placepopulation 16,407, elevation 228m",41.441387,81.86417
Tinley Park,United States,"populated placepopulation 57,143, elevation 213m",41.573334,87.78445
Borough Park,United States,"populated placepopulation 149,248, elevation 20m",40.63389,73.996666
Ozone Park,United States,"populated placepopulation 53,985, elevation 10m",40.676666,73.84361
Bishan Park,Singapore,park,1.3652778,103.83583
Pearl’s Hill City Park,Singapore,park,1.2844445,103.839165
International Business Park,Singapore,park,1.3294444,103.7475
Marina South City Park,Singapore,park,1.28,103.861115
Sembawang End Park,Singapore,park,1.4636111,103.836945
Pasir Ris Beach Park,Singapore,park,1.3836111,103.945274
Changi Beach Park,Singapore,park,1.3902777,103.994446
Bukit Batok Town Park,Singapore,park,1.3555555,103.76361
Telok Blangah Hill Park,Singapore,park,1.2822223,103.812225
Kent Ridge Park,Singapore,park,1.2863889,103.79
Bedok Town Park,Singapore,park,1.3369445,103.93833
East Coast Park,Singapore,nature reserve,1.3141667,103.934166
Hong Lim Park,Singapore,nature reserve,1.2852778,103.845276
Jurong Bird Park,Singapore,nature reserve,1.3191667,103.70611
Bukit Batok Nature Park,Singapore,nature reserve,1.3488889,103.765274
Universal Studios Singapore,Singapore,amusement park,1.2555556,103.82083
Labrador Nature Reserve,Singapore,nature reserve,1.2658334,103.80194
Kranji Reservoir Park,Singapore,park,1.4397223,103.73778
Woodlands Industrial Park East,Singapore,industrial area,1.4547222,103.800835
Kampong Ubi Industrial Park,Singapore,industrial area,1.3299999,103.90722
Mount Emily Park,Singapore,"section of populated placepopulation 1,630",1.3047222,103.84722
West Point Garden,Singapore,nature reserve,1.29,103.769165
Clementi Park,Singapore,park,1.3275,103.76806
Farrer Park,Singapore,park,1.3122222,103.84889
Phoenix Park,Singapore,park,1.3763889,103.756386
Serangoon Park,Singapore,park,1.3505555,103.86694
Marina Park,Singapore,park,1.2997222,103.86472
Aljunied Park,Singapore,park,1.3302778,103.88778
Jurong Park,Singapore,park,1.3269445,103.72833
Fort Canning Park,Singapore,park,1.293611,103.84639
Chestnut Nature Park,Singapore,park,1.3716667,103.77944
Kallang Park,Singapore,nature reserve,1.3033333,103.87722
Katong Park,Singapore,nature reserve,1.2972223,103.90111
Farrer Park,Singapore,locality,1.311389,103.852776
Science Park,Singapore,industrial area,1.2913889,103.788055
Siglap Park,Singapore,nature reserve,1.3166666,103.928055
Tyersall Park,Singapore,section of populated placepopulation 539,1.3105556,103.813614
Seletar Reservoir Park,Singapore,park,1.3997222,103.806946
Ang Mo Kio Park,Singapore,park,1.3602778,103.84889
Mount Faber Scenic Park,Singapore,park,1.2722223,103.82083
Kampong Java Park,Singapore,park,1.3108333,103.84611
Dairy Farm Nature Park,Singapore,park,1.3622222,103.775
Gay World Amusement Park,Singapore,amusement park,1.3105556,103.87361
Pasir Panjang Park,Singapore,nature reserve,1.2758334,103.79195
Kallang Park Industrial Estate,Singapore,industrial area,1.3011111,103.880554
MacRitchie Reservoir Park,Singapore,nature reserve,1.3447223,103.834724
Jurong Hill Park,Singapore,nature reserve,1.3186111,103.70639
Ang Mo Kio Industrial Park,Singapore,industrial area,1.3888888,103.84695
Yishun Industrial Park,Singapore,industrial area,1.4452778,103.835
Woodlands Industrial Park,Singapore,industrial area,1.4338889,103.763336
Funan DigitaLife Mall,Singapore,"mallpopulation 300, elevation 1m",1.2913889,103.849724
The Central,Singapore,"mallpopulation 100, elevation 1m",1.2891667,103.84695
Compass Point,Singapore,mall,1.3919444,103.89472
